handa_kyushoku_menu_201807,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,7,1,,,,,,,,
2,232050,2018,7,2,ごはん,さばしおやき,やさいとかつおのあえもの,ぶたじる,,牛乳,624,783
3,232050,2018,7,3,ごはん,★とんかつ,おやこに,キャベツのゆかりあえ,,牛乳,670,837
4,232050,2018,7,4,むぎごはん,ハヤシライス,ハムステーキ,ブロッコリーサラダ　　,,牛乳,604,762
5,232050,2018,7,5,ソフトめん,マーボーソースかけ,ツナサラダ　わふうごまドレッシング,オレンジ,,牛乳,669,820
6,232050,2018,7,6,ごはん,★えだまめコロッケ,オクラのおひたし,★たなばたじる,★アーモンドこざかな,牛乳,627,766
7,232050,2018,7,7,,,,,,,,
8,232050,2018,7,8,,,,,,,,
9,232050,2018,7,9,ごはん,★イカフライのレモンソースかけ,ゴーヤチャンプル,はっぽうたん,,牛乳,604,766
10,232050,2018,7,10,ごはん,ぶたにくのやきにくふういため,ごぼうサラダ　ソイドレッシング,かぼちゃのみそしる,★がまごおりみかんゼリー,牛乳,636,780
11,232050,2018,7,11,ごはん,★さばのぎんがみやき,たくあんあえ,じゃがいものそぼろに,,牛乳,647,815
12,232050,2018,7,12,クロスロールパン,なすとトマトのスパゲティ,ハムとやさいのマリネ,★フルーツポンチ,,牛乳,648,813
13,232050,2018,7,13,ごはん,★やさいはんぺんのあんかけ,こまつなともやしのごまあえ,とうがんじる,ヨーグルト,牛乳,584,769
14,232050,2018,7,14,,,,,,,,
15,232050,2018,7,15,,,,,,,,
16,232050,2018,7,16,,,,,,,,
17,232050,2018,7,17,ごはん,★キャベツいりつくね,なまあげのうまに,いかとわかめのすのもの,,牛乳,609,773
18,232050,2018,7,18,ごはん,★ししゃもフライのこうみソースがけ（２び）,きりぼしだいこんとひじきのいろどりあえ,さわにわん,,牛乳,578,717
19,232050,2018,7,19,むぎごはん,なつやさいカレー,★オムレツのトマトソースかけ,コールスローサラダ,セレクトデザート★A とうにゅういりおこめのババロア（みかん）★B パインゼリー,牛乳,667,826
20,232050,2018,7,20,,,,,,,,
21,232050,2018,7,21,,,,,,,,
22,232050,2018,7,22,,,,,,,,
23,232050,2018,7,23,,,,,,,,
24,232050,2018,7,24,,,,,,,,
25,232050,2018,7,25,,,,,,,,
26,232050,2018,7,26,,,,,,,,
27,232050,2018,7,27,,,,,,,,
28,232050,2018,7,28,,,,,,,,
29,232050,2018,7,29,,,,,,,,
30,232050,2018,7,30,,,,,,,,
31,232050,2018,7,31,,,,,,,,
