handa_kyushoku_menu_201805,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,5,1,ごはん,なまあげのうまに,★キャベツいりミンチカツ,いんげんのごまあえ,★ひとくちピーチゼリー(小1個・中2個）,牛乳,591,758
2,232050,2018,5,2,ごはん,さわらのてりやき,すましじる,ゆかりあえ,★かしわもち,牛乳,611,749
3,232050,2018,5,3,,,,,,,,
4,232050,2018,5,4,,,,,,,,
5,232050,2018,5,5,,,,,,,,
6,232050,2018,5,6,,,,,,,,
7,232050,2018,5,7,ごはん,★しゅうまい（小２こ・中3個）,マーボーどうふ,バンサンスー,,牛乳,618,794
8,232050,2018,5,8,ミルクロールパン,ポークビーンズ,★オムレツのデミソースかけ,アスパラとはるキャベツのサラダ,,牛乳,644,795
9,232050,2018,5,9,ごはん,ぶたにくとだいこんのにもの,★けんちんしのだのにくみそかけ,オレンジ,,牛乳,611,773
10,232050,2018,5,10,ごはん,★とりだんごとさんさいのすましじる,ちくわのいそべあげ（２こ）,こまつなとかつおのあえもの,,牛乳,587,718
11,232050,2018,5,11,むぎごはん,カレーライス,とりにくのハーブやき,だいコーンサラダ,マヨネーズ,牛乳,691,875
12,232050,2018,5,12,,,,,,,,
13,232050,2018,5,13,,,,,,,,
14,232050,2018,5,14,ごはん,さけとえだまめごはんのぐ,★コロッケ,けんちんじる,キャンディチーズ（小２こ・中3個）,牛乳,639,810
15,232050,2018,5,15,ごはん,★ぎょうざ　（小２こ・中3個）,はっぽうさい,だいずのアーモンドがらめ,,牛乳,601,780
16,232050,2018,5,16,ごはん,★さばぎんがみやき,にくじゃが,きりぼしだいこんのあまずあえ,,牛乳,652,819
17,232050,2018,5,17,ソフトめん,ミートソース,イタリアンサラダ,★あまなつのゼリーよせ,,牛乳,695,856
18,232050,2018,5,18,ごはん,ちたはんとうさんなっとう,きんぴらごぼう,ぶたじる,★アーモンドこざかな,牛乳,600,751
19,232050,2018,5,19,,,,,,,,
20,232050,2018,5,20,,,,,,,,
21,232050,2018,5,21,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,牛乳,584,767
22,232050,2018,5,22,ごはん,★てりやきハンバーグ,おやこに,しそひじきのやさいあえ,,牛乳,598,764
23,232050,2018,5,23,ごはん,★かつおのフライ,ちくぜんに,きゅうりとたくあんのあえもの,,牛乳,578,760
24,232050,2018,5,24,スライスパン,フランクフルトのケチャップソース,こふきいも,アスパラのクリームスープ,★だいずチョコ,牛乳,702,886
25,232050,2018,5,25,わかめごはん,★いわしのうめに,ごもくにまめ,じやがいものみそしる,★がまごおりみかんプチゼリー（小１こ・中2個）,牛乳,611,793
26,232050,2018,5,26,,,,,,,,
27,232050,2018,5,27,,,,,,,,
28,232050,2018,5,28,むぎごはん,ハヤシライス,★えびカツ,コールスローサラダ,,牛乳,601,763
29,232050,2018,5,29,ごはん,にくひじきごはんのぐ,★あつやきたまご,のっぺいじる,キャンディチーズ（中２こ）,牛乳,561,740
30,232050,2018,5,30,ごはん,鶏肉のから揚げ（小１こ・中２こ）,ちゅうかふうあえもの,ワンタンスープ,,牛乳,586,767
31,232050,2018,5,31,クロスロールパン,やきそば,★とうふだんご（小２こ・中3個）,ブロッコリーサラダ,,牛乳,667,850
