handa_kyushoku_menu_201809,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,9,1,,,,,,,,
2,232050,2018,9,2,,,,,,,,
3,232050,2018,9,3,,,,,,,,
4,232050,2018,9,4,,,,,,,,
5,232050,2018,9,5,むぎごはん,カレー,とりにくのハーブやき,コールスローサラダ,,牛乳,635,797
6,232050,2018,9,6,クロスロールパン,ポークビーンズ,だいコーンサラダ,マヨネーズ,きょほう（２こ）,牛乳,606,769
7,232050,2018,9,7,ごはん,★さといもコロッケ,ゴーヤチャンプル,かぼちゃのみそしる,,牛乳,633,793
8,232050,2018,9,8,,,,,,,,
9,232050,2018,9,9,,,,,,,,
10,232050,2018,9,10,ごはん,★さんまのぎんがみやき,えだまめ,とうがんじる,★がまごおりみかんプチゼリー,牛乳,595,770
11,232050,2018,9,11,ごはん,マーボーなす,★しゅうまい（２こ）,バンバンジーサラダ,,牛乳,592,764
12,232050,2018,9,12,ごはん,★いわしのうめに,やさいとわかめのあえもの,にくじゃが,,牛乳,612,776
13,232050,2018,9,13,クロロールパン,★ハンバーグきのこソース,やさいのスープに,オレンジ,,牛乳,590,749
14,232050,2018,9,14,ごはん,★あじフライレモンソース,ゆかりあえ,だいこんとぶたにくのにもの,,牛乳,594,749
15,232050,2018,9,15,,,,,,,,
16,232050,2018,9,16,,,,,,,,
17,232050,2018,9,17,,,,,,,,
18,232050,2018,9,18,ごはん,さばのしおやき,きりぼしだいこんのごまあえ,★とりだんごじる,,牛乳,660,829
19,232050,2018,9,19,ごはん,★けんちんしのだにくみそかけ,こまつなとツナのあえもの,おやこに,,牛乳,680,847
20,232050,2018,9,20,ちゅうかめん,ごもくちゅうかスープ,★チキンたつたあげ,ひじきのちゅうかあえ,,牛乳,651,795
21,232050,2018,9,21,ごはん,★ししゃもフライ（２び）,ブロッコリーサラダ,さといものみそしる,★つきみだんご,牛乳,761,892
22,232050,2018,9,22,,,,,,,,
23,232050,2018,9,23,,,,,,,,
24,232050,2018,9,24,,,,,,,,
25,232050,2018,9,25,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,ビーフンスープ,ヨーグルト,牛乳,588,773
26,232050,2018,9,26,むぎごはん,ハヤシライス,★オムレツ,ハムとやさいのマリネ,,牛乳,596,752
27,232050,2018,9,27,こがたロールパン,やきそば,★ごぼういりつくね（２こ）,★フルーツのゼリーあえ,,牛乳,608,743
28,232050,2018,9,28,ごはん,★まぐろとだいずのあまから,ぶたじる,りんご,,牛乳,601,753
29,232050,2018,9,29,,,,,,,,
30,232050,2018,9,30,,,,,,,,
