handa_kyushoku_menu_201910,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,10,1,麦ごはん,秋なす入りカレーライス,フランクフルトのケチャップソース,豆豆サラダ,ごまドレッシング,牛乳,695,867
2,232050,2019,10,2,ごはん,★ねぎ入り卵焼き,焼肉風炒め,きのこ汁,★アーモンド入り小魚,牛乳,591,749
3,232050,2019,10,3,ごはん,★ホキフライ,白菜のしらす和え,筑前煮,,牛乳,593,748
4,232050,2019,10,4,ミルクロールパン,照り焼きチキン,ツナサラダ,オニオンスープ,,牛乳,615,758
5,232050,2019,10,5,,,,,,,,
6,232050,2019,10,6,,,,,,,,
7,232050,2019,10,7,ごはん,さばの塩焼き,野菜と凍り豆腐の和え物,のっぺい汁,,牛乳,613,772
8,232050,2019,10,8,ごはん,★しそ入り鶏春巻き,ひじきの中華和え,★えび団子スープ,,牛乳,594,751
9,232050,2019,10,9,クロワッサン,★オムレツのきのこソース,ジャーマンポテト,ミネストローネ,,牛乳,585,721
10,232050,2019,10,10,ごはん,★レバー入りつくね,小松菜とかつおの和え物,すきやき風煮,,牛乳,600,778
11,232050,2019,10,11,ソフトめん,肉みそかけ,★一口焼きいも,キャベツのゆかり和え,,牛乳,708,855
12,232050,2019,10,12,,,,,,,,
13,232050,2019,10,13,,,,,,,,
14,232050,2019,10,14,,,,,,,,
15,232050,2019,10,15,ごはん,ビビンバ（肉）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,牛乳,584,767
16,232050,2019,10,16,ごはん,鶏肉とさつまいものピリカラ,切干大根の甘酢和え,★玄米団子汁,,牛乳,595,747
17,232050,2019,10,17,黒ロールパン,トマトスパゲッティ,ブロッコリーサラダ,★フルーツミックス,,牛乳,656,811
18,232050,2019,10,18,ごはん,知多半島産納豆,五目きんぴら,親子煮,,牛乳,616,761
19,232050,2019,10,19,,,,,,,,
20,232050,2019,10,20,,,,,,,,
21,232050,2019,10,21,ごはん,★いわしのしょうが煮,野菜の昆布和え,じゃがいものそぼろ煮,,牛乳,615,780
22,232050,2019,10,22,,,,,,,,
23,232050,2019,10,23,麦ごはん,ハヤシライス,★大豆入りナゲット,だいコーンサラダ,,牛乳,673,835
24,232050,2019,10,24,ごはん,栗ごはんの具,★豆腐ハンバーグのおろしかけ,豚汁,,牛乳,610,768
25,232050,2019,10,25,うどん,和風汁,★かき揚げ,★しそひじきの野菜和え,,牛乳,659,756
26,232050,2019,10,26,,,,,,,,
27,232050,2019,10,27,,,,,,,,
28,232050,2019,10,28,ごはん,★ぎょうざ,ビーフン炒め,マーボー豆腐,,牛乳,656,840
29,232050,2019,10,29,ごはん,★さんまのかば焼き,いかと里いもの煮物,沢煮椀,,牛乳,597,770
30,232050,2019,10,30,ごはん,キャベツと生揚げのみそ炒め,関東煮,りんご,,牛乳,589,738
31,232050,2019,10,31,愛知の米粉入りパン,★かぼちゃコロッケ,コールスローサラダ,きのこのクリームスープ,,牛乳,706,782
