handa_kyushoku_menu_201702,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,2,1,ごはん,さんまのぎんがみやき,なのはなあえ,にくじゃが,,,660,828
2,232050,2017,2,2,ごはん,コロッケ,かんとうに,キャベツのゆかりあえ,,,612,765
3,232050,2017,2,3,ごはん,いわしフライ　　,せつぶんまめ,ちゃんこなべ,こまつなとツナのあえもの　,,765,943
4,232050,2017,2,4,,,,,,,,
5,232050,2017,2,5,,,,,,,,
6,232050,2017,2,6,きなこあげパン,ビーンズスープ,ごぼうサラダマヨネーズ,かたぬきチーズ,,,624,742
7,232050,2017,2,7,ごはん,ぶりのてりやき,きりぼしだいこんのにもの　,かきたまじる　,こうはくもち　,,698,854
8,232050,2017,2,8,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,ちゅうかスープ　　,ヨーグルト,,584,724
9,232050,2017,2,9,むぎごはん,ツナそぼろ,あつやきたまご（のり）,やさいのうまに,,,654,803
10,232050,2017,2,10,ちゅうかめん,ごもくちゅうかスープ,にくまん,もやしのあえもの,,,633,798
11,232050,2017,2,11,,,,,,,,
12,232050,2017,2,12,,,,,,,,
13,232050,2017,2,13,ごはん,さけのしおやき,だいこんとぶたにくのにもの　,だいずのごもくいそに,,,612,772
14,232050,2017,2,14,むぎごはん,ハヤシライス,だいコーンサラダドレッシング,チョコだんご,,,683,823
15,232050,2017,2,15,ごはん,にくしゅうまい(２こ・３こ),なまあげのちゅうかに,ビーフンいため,,,609,784
16,232050,2017,2,16,レーズンロールパン,ハンバーグのデミソース,コーンクリームスープ,えだまめサラダドレッシング,,,716,891
17,232050,2017,2,17,あかまいごはん,みそおでん,とりにくとれんこんのにもの,かぶのこんぶあえ,,,598,753
18,232050,2017,2,18,,,,,,,,
19,232050,2017,2,19,,,,,,,,
20,232050,2017,2,20,はつがげんまいごはん,とりにくとさつまいものかんこくふう,はっぽうさい,いよかん　　,かんそうこざかな,,613,786
21,232050,2017,2,21,ごはん,ハムフライ,はくさいのおかかあえ,おやこに,,,675,841
22,232050,2017,2,22,ごはん,さばのぎんがみやき,きんときまめのあまに,さわにわん,,,651,816
23,232050,2017,2,23,わかめごはん,うずらたまごくしフライ,バンバンジーサラダ,キムチスープ,,,553,704
24,232050,2017,2,24,うどん,カレーなんばん,やさいのしらすあえ,フルーツポンチ,,,627,737
25,232050,2017,2,25,,,,,,,,
26,232050,2017,2,26,,,,,,,,
27,232050,2017,2,27,ごはん,ししゃもフライのこうみソース(２ひき),ごもくきんぴら,かすじる,,,651,799
28,232050,2017,2,28,ごはん,にくだんごのすぶたふう,やさいのナムル,ワンタンスープ,,,602,761
