handa_kyushoku_menu_201802,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,2,1,ごはん,★てりやきハンバーグ,にあえ,さわにわん,,牛乳,567,730
2,232050,2018,2,2,ごはん,★いわしのうめに,なばなのあえもの,さつまじる,せつぶんまめ,牛乳,636,795
3,232050,2018,2,3,,,,,,,,
4,232050,2018,2,4,,,,,,,,
5,232050,2018,2,5,ごはん,★わふうコロッケ,キャベツのゆかりあえ,みそおでん,,牛乳,622,780
6,232050,2018,2,6,ごはん,★けんちんしのだにくみそかけ,こまつなのごまあえ,おやこに,,牛乳,695,865
7,232050,2018,2,7,りんごパン,★あじフライレモンソース,もやしとエリンギのソテー,ポークビーンズ,,牛乳,639,796
8,232050,2018,2,8,むぎごはん,ビビンバ（にくそぼろ）,ビビンバ（ナムル）,ワンタンスープ,ヨーグルト,牛乳,605,794
9,232050,2018,2,9,ごはん,★まぐろとやさいのあげに,★すいとん,はっさく,,牛乳,617,774
10,232050,2018,2,10,,,,,,,,
11,232050,2018,2,11,,,,,,,,
12,232050,2018,2,12,,,,,,,,
13,232050,2018,2,13,ソフトめん,ミートソース,れんこんチップス,ツナサラダ,,牛乳,713,879
14,232050,2018,2,14,ごはん,★サーモンフライ,ブロッコリーサラダ,やさいのスープに,★チョコプリン,牛乳,657,798
15,232050,2018,2,15,ごはん,★ごぼういりつくね（２こ）,まめまめサラダ,ドレッシング,ぶたじる,牛乳,606,741
16,232050,2018,2,16,ごはん,★さばのぎんがみやき,ごもくきんぴら,にくじゃが,,牛乳,664,836
17,232050,2018,2,17,,,,,,,,
18,232050,2018,2,18,,,,,,,,
19,232050,2018,2,19,はつがげんまいごはん,かもすだれチキン,おかかあえ,はんだのたまごのかきたまじる,,牛乳,596,753
20,232050,2018,2,20,うどん,カレーなんばん,ちくわのいそべあげ（小２こ　中３こ）,りんご,,牛乳,603,724
21,232050,2018,2,21,ごはん,★ぎょうざ（小２こ 中３こ）,ビーフンいため,なまあげのちゅうかに,,牛乳,661,851
22,232050,2018,2,22,ごはん,チキンライスのぐ,★オムレツのデミソースかけ,はくさいのクリームスープ,,牛乳,633,793
23,232050,2018,2,23,ごはん,★ぶりのみりんやき,きりぼしだいこんのごまずあえ,ごじる,,牛乳,610,772
24,232050,2018,2,24,,,,,,,,
25,232050,2018,2,25,,,,,,,,
26,232050,2018,2,26,むぎごはん,ハヤシライス,とりにくのハーブやき,キャベツのソテー,,牛乳,605,763
27,232050,2018,2,27,ごはん,★はるまき,バンバンジーサラダ,★もずくとにくだんごのスープ,,牛乳,605,763
28,232050,2018,2,28,ごはん,★あつやきたまご,ひじきのいために,のっぺいじる,,牛乳,570,716
