handa_kyushoku_menu_201801,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,1,1,,,,,,,,
2,232050,2018,1,2,,,,,,,,
3,232050,2018,1,3,,,,,,,,
4,232050,2018,1,4,,,,,,,,
5,232050,2018,1,5,,,,,,,,
6,232050,2018,1,6,,,,,,,,
7,232050,2018,1,7,,,,,,,,
8,232050,2018,1,8,,,,,,,,
9,232050,2018,1,9,,,,,,,,
10,232050,2018,1,10,ごはん,★けんちんしのだのにくみそがけ,ほうれんそうのごまあえ,とりにくのすましじる,,牛乳,597,747
11,232050,2018,1,11,ごはん,さわらのてりやき,はくさいのこんぶあえ,ごもくぞうに,,牛乳,562,714
12,232050,2018,1,12,ごはん,マーボーどうふ,★はるまき,はるさめサラダ,,牛乳,671,838
13,232050,2018,1,13,,,,,,,,
14,232050,2018,1,14,,,,,,,,
15,232050,2018,1,15,ごはん,にくじゃが,キャベツのみそいため,みかん,,牛乳,621,782
16,232050,2018,1,16,ごはん,★ししゃもフライのなんばんづけ（２び）,こまつなとエリンギのソテー,けんちんじる,,牛乳,579,699
17,232050,2018,1,17,ごはん,やきにくふういため,★しゅうまい（小２こ　中３こ）,★にくだんごとわかめのスープ,,牛乳,562,726
18,232050,2018,1,18,わかめごはん,★あじフライ,ちくぜんに,ブロッコリーのあえもの,,牛乳,602,762
19,232050,2018,1,19,ソフトめん,あんかけソース,★うずらたまごのスコッチエッグ,イタリアンサラダ,,牛乳,702,834
20,232050,2018,1,20,,,,,,,,
21,232050,2018,1,21,,,,,,,,
22,232050,2018,1,22,ごはん,ひきずり,★こうなごとポテトのいそあえ,みかん,,牛乳,568,716
23,232050,2018,1,23,クロスロールパン,かいせんかもすやきそば,★とうふだんご（２こ）,だいコーンサラダ　,マヨネーズ,牛乳,649,819
24,232050,2018,1,24,ごはん,さけのしおやき,キャベツのゆかりあえ,にみそ,,牛乳,579,705
25,232050,2018,1,25,ごはん,★キャベツいりつくね,こまつなとツナのあえもの,ごんのたまごのかきたまじる,★おにまんじゅう,牛乳,665,809
26,232050,2018,1,26,ごはん,てんむす（★えびのてんぷら　てまきのり）,おかかあえ,ぶたじる,,牛乳,576,722
27,232050,2018,1,27,,,,,,,,
28,232050,2018,1,28,,,,,,,,
29,232050,2018,1,29,むぎごはん,★ごもくあつやきたまご,ツナサラダ,なまあげのうまに,,牛乳,653,818
30,232050,2018,1,30,ナン,カレー,とりにくのハーブやき,コールスローサラダ,,牛乳,642,785
31,232050,2018,1,31,ごはん,★さばのぎんがみやき,かぶのあまずあえ,きのこじる,★ひとくちゼリー（りんご）,牛乳,568,711
