handa_kyushoku_menu_201907,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,7,1,ごはん,★いわしの梅煮,きゅうりとたくあんの和え物,肉じゃが,,牛乳,608,770
2,232050,2019,7,2,ごはん,★和風コロッケ,ゴーヤチャンプル,豚汁,,牛乳,619,779
3,232050,2019,7,3,ロールパン,鶏肉のハーブ焼き,ツナサラダ,ポークビーンズ,,牛乳,693,860
4,232050,2019,7,4,ごはん,★しゅうまい（小学校2こ・中学校3こ）,中華風和え物,マーボーなす,,牛乳,594,765
5,232050,2019,7,5,ごはん,★ちらし寿司の具,★あじフライレモンソース,★七夕汁,,牛乳,630,792
6,232050,2019,7,6,,,,,,,,
7,232050,2019,7,7,,,,,,,,
8,232050,2019,7,8,麦ごはん,夏野菜カレー,★オムレツ,ハムサラダ,,牛乳,623,782
9,232050,2019,7,9,ごはん,★かつおフライ,野菜とわかめの和え物,じゃがいものみそ汁,,牛乳,589,773
10,232050,2019,7,10,ごはん,★照焼きハンバーグ,野菜と凍り豆腐の和え物,大根と豚肉の煮物,,牛乳,571,736
11,232050,2019,7,11,ごはん,★さば銀紙焼き,ひじきの炒め煮,けんちん汁,★一口ピーチゼリー,牛乳,594,747
12,232050,2019,7,12,中華めん,五目中華スープ,★肉団子の酢豚,冷凍みかん,,牛乳,659,791
13,232050,2019,7,13,,,,,,,,
14,232050,2019,7,14,,,,,,,,
15,232050,2019,7,15,,,,,,,,
16,232050,2019,7,16,ごはん,ビビンバ（肉）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,牛乳,584,749
17,232050,2019,7,17,愛知の米粉入りパン,トマトスパゲティ,ブロッコリーサラダ,★フルーツポンチ,,牛乳,671,778
18,232050,2019,7,18,ごはん,★みそカツ,ごぼうサラダ,冬瓜汁,セレクトデザート（★Aわらび餅・★Bぶどうゼリー）,牛乳,748,885
19,232050,2019,7,19,,,,,,,,
20,232050,2019,7,20,,,,,,,,
21,232050,2019,7,21,,,,,,,,
22,232050,2019,7,22,,,,,,,,
23,232050,2019,7,23,,,,,,,,
24,232050,2019,7,24,,,,,,,,
25,232050,2019,7,25,,,,,,,,
26,232050,2019,7,26,,,,,,,,
27,232050,2019,7,27,,,,,,,,
28,232050,2019,7,28,,,,,,,,
29,232050,2019,7,29,,,,,,,,
30,232050,2019,7,30,,,,,,,,
31,232050,2019,7,31,,,,,,,,
