handa_kyushoku_menu_201703,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,3,1,ごはん,とうふハンバーグ,なばなのあえもの,えびだんごじる,（中のみ）おいわいデザート　クレープ,牛乳,625,857
2,232050,2017,3,2,ごはん,しゅうまい（小２こ・中３こ）,ひじきのちゅうかあえ,マーボーどうふ,,牛乳,610,783
3,232050,2017,3,3,ごはん,ちらしずしのぐ,わふうコロッケ,けんちんじる　　　　,ひなあられ,牛乳,618,
4,232050,2017,3,4,,,,,,,,
5,232050,2017,3,5,,,,,,,,
6,232050,2017,3,6,くろロール  パン,とりにくのハーブやき,ほうれんそうサラダ,ミネストローネ,,牛乳,609,758
7,232050,2017,3,7,ごはん,サーモンフライ,ごぼうサラダ　ごまドレッシング,だいこんとぶたにくのにもの,,牛乳,666,825
8,232050,2017,3,8,ごはん,あつやきたまご,こまつなとツナのあえもの,ごじる　　,（中のみ）がまごおりみかんゼリー,牛乳,613,760
9,232050,2017,3,9,むぎごはん,カレー　　　　,チキンたつたあげ,,,牛乳,685,866
10,232050,2017,3,10,うどん,みそにこみうどん,おかかあえ,ひとくちやきいも(小２こ・中３こ）,,牛乳,674,818
11,232050,2017,3,11,,,,,,,,
12,232050,2017,3,12,,,,,,,,
13,232050,2017,3,13,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,ビーフンスープ　　　　,ヨーグルト,牛乳,597,739
14,232050,2017,3,14,ごはん,とりにくのからあげ　（小１こ・中２こ）,やさいとわかめのあえもの,かきたまじる　　,（小のみ）おいわいデザート　クレープ,牛乳,650,756
15,232050,2017,3,15,ごはん,さばのぎんがみやき,なまあげのうまに,きゅうりとたくあんのあえもの,,牛乳,624,786
16,232050,2017,3,16,ごはん,てづくりささみフライ　　,だいコーンサラダ  マヨネーズ,やさいのスープに　　,チーズ,牛乳,,840
17,232050,2017,3,17,ミルクロールパン,ハンバーグきのこソース,さけのクリームスープ　　,フルーツミックス,,牛乳,665,830
18,232050,2017,3,18,,,,,,,,
19,232050,2017,3,19,,,,,,,,
20,232050,2017,3,20,,,,,,,,
21,232050,2017,3,21,ごはん,ひきずり,いわしのうめに,オレンジ,,牛乳,581,738
22,232050,2017,3,22,ごはん,ホキのいそべフライ　,ほうれんそうのごまあえ,ちくぜんに　,,牛乳,591,742
23,232050,2017,3,23,むぎごはん,チキンライスのぐ,ブロッコリーサラダ　　マヨネーズ,やさいのカレースープ　,ひとくちピーチゼリー（小１こ・中２こ）,牛乳,588,769
24,232050,2017,3,24,,,,,,,,
25,232050,2017,3,25,,,,,,,,
26,232050,2017,3,26,,,,,,,,
27,232050,2017,3,27,,,,,,,,
28,232050,2017,3,28,,,,,,,,
29,232050,2017,3,29,,,,,,,,
30,232050,2017,3,30,,,,,,,,
31,232050,2017,3,31,,,,,,,,
