handa_kyushoku_menu_201909,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,9,1,,,,,,,,
2,232050,2019,9,2,,,,,,,,
3,232050,2019,9,3,麦ごはん,カレー,ハムステーキ,えだまめ,,牛乳,627,788
4,232050,2019,9,4,ごはん,★さんまの銀紙焼き,ゴーヤチャンプル,とうがん汁,,牛乳,603,763
5,232050,2019,9,5,きなこ揚げパン,ポークビーンズ,スパゲティサラダ,キャンデイチーズ　小２こ　中３こ,,牛乳,600,723
6,232050,2019,9,6,ごはん,★春巻き,生揚げの中華煮,巨峰　小２こ　中３こ,,牛乳,656,830
7,232050,2019,9,7,,,,,,,,
8,232050,2019,9,8,,,,,,,,
9,232050,2019,9,9,ごはん,さば塩焼き,なすと豚肉のみそ炒め,けんちん汁,,牛乳,668,836
10,232050,2019,9,10,ごはん,★チキン竜田揚げ,小松菜おかか和え,肉じゃが,,牛乳,641,810
11,232050,2019,9,11,ごはん,五目厚焼き卵,ひじきの炒め煮,ひきずり,,牛乳,615,776
12,232050,2019,9,12,ごはん,★えびしゅうまい　小２こ　中３こ,豚キムチ炒め,ワンタンスープ,,牛乳,570,744
13,232050,2019,9,13,うどん,和風汁,★里芋コロッケ,★フルーツのゼリーあえ,,牛乳,675,793
14,232050,2019,9,14,,,,,,,,
15,232050,2019,9,15,,,,,,,,
16,232050,2019,9,16,,,,,,,,
17,232050,2019,9,17,ごはん,★けんちんしのだの肉みそかけ,野菜とわかめの和え物,親子煮,,牛乳,710,885
18,232050,2019,9,18,麦ごはん,ハヤシライス,大豆と小魚の揚げ煮,冷凍みかん,,牛乳,614,766
19,232050,2019,9,19,愛知の米粉入りパン,★ハンバーグのきのこソース,キャベツのレモン風味,野菜のスープ煮,,牛乳,623,732
20,232050,2019,9,20,ごはん,ちくわの磯辺揚げ　小２こ　中３こ,いかと里芋の旨煮,かぼちゃのみそ汁,,牛乳,611,797
21,232050,2019,9,21,,,,,,,,
22,232050,2019,9,22,,,,,,,,
23,232050,2019,9,23,,,,,,,,
24,232050,2019,9,24,麦ごはん,ビビンバ（にく）,ビビンバ（ナムル）,もずくの中華スープ,ヨーグルト,牛乳,599,787
25,232050,2019,9,25,ごはん,★ししゃもフライのレモンソース　２尾,ゆかり和え,大根と豚肉の煮物,,牛乳,594,722
26,232050,2019,9,26,ごはん,マーボー豆腐,切り干し大根のナムル,オレンジ,,牛乳,601,762
27,232050,2019,9,27,ソフト麺,ミートソースかけ,★オムレツ,ハムと野菜のマリネ,,牛乳,719,884
28,232050,2019,9,28,,,,,,,,
29,232050,2019,9,29,,,,,,,,
30,232050,2019,9,30,わかめごはん,★あじフライ（ソース）,野菜とたくあんの和え物,豚汁,,牛乳,615,775
