handa_kyushoku_menu_201704,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,4,1,,,,,,,,
2,232050,2017,4,2,,,,,,,,
3,232050,2017,4,3,,,,,,,,
4,232050,2017,4,4,,,,,,,,
5,232050,2017,4,5,,,,,,,,
6,232050,2017,4,6,,,,,,,,
7,232050,2017,4,7,,,,,,,,
8,232050,2017,4,8,,,,,,,,
9,232050,2017,4,9,,,,,,,,
10,232050,2017,4,10,ごはん,てづくりかきあげ,こまつなとツナのあえもの,みそしる,★かんそうこざかな,牛乳,610,
11,232050,2017,4,11,ソフトめん,ミートソース,★いかリングフライ（２こ）,ハムとやさいのマリネ　　,（中）★おいわいデザート,牛乳,723,912
12,232050,2017,4,12,ごはん,★さわらのさいきょうやき,ふきいりきんぴらごぼう,★えびだんごじる　,キャンディチーズ（小２こ中３こ）,牛乳,596,768
13,232050,2017,4,13,ごはん,はっぽうさい,★しゅうまい（小２こ中３こ）,バンバンジーサラダ　,,牛乳,565,733
14,232050,2017,4,14,ごはん,にくじゃが,★いわしのうめに,オレンジ,,牛乳,591,752
15,232050,2017,4,15,,,,,,,,
16,232050,2017,4,16,,,,,,,,
17,232050,2017,4,17,ごはん,マーボーどうふ,★はるまき,バンサンスー,,牛乳,672,840
18,232050,2017,4,18,むぎごはん,カレー　　　　　,とりにくのハーブやき,ごぼうサラダ　,マヨネーズ,牛乳,678,862
19,232050,2017,4,19,ごはん,★けんちんしのだにくみそかけ,キャベツのあえもの　,のっぺいじる,★がまごおりみかんプチゼリー（小１こ中２こ）,牛乳,627,801
20,232050,2017,4,20,ミルク  ロールパン,★ハンバーグのデミソースかけ,ほうれんそうサラダ,オニオンスープ,,牛乳,611,765
21,232050,2017,4,21,むぎごはん,たけのこごはんのぐ,さけのしおやき,ぶたじる,,牛乳,610,767
22,232050,2017,4,22,,,,,,,,
23,232050,2017,4,23,,,,,,,,
24,232050,2017,4,24,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,キャベツととうふのちゅうかスープ,（小）★おいわいデザート  （中）ヨーグルト,牛乳,576,772
25,232050,2017,4,25,あいちの  こめこいり  パン,やきそば,★ごぼういりつくね（小２こ中３こ）,フルーツポンチ,,牛乳,726,867
26,232050,2017,4,26,ごはん,おやこに,ぶたにくとキャベツのみそいため,オレンジ,,牛乳,588,739
27,232050,2017,4,27,むぎごはん,ハヤシライス,★コロッケ,だいコーンサラダ　,ごまドレッシング,牛乳,712,877
28,232050,2017,4,28,ごはん,にくひじきごはんのぐ,★あじフライのレモンソース,たまねぎのみそしる,,牛乳,637,797
29,232050,2017,4,29,,,,,,,640,820
30,232050,2017,4,30,,,,,,,,
