handa_kyushoku_menu_201707,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,7,1,,,,,,,,
2,232050,2017,7,2,,,,,,,,
3,232050,2017,7,3,ごはん,★みそかつ,おやこに,きゃべつのゆかりあえ,,牛乳,668,827
4,232050,2017,7,4,ソフトめん,ミートソース,ツナサラダ,れいとうみかん　　,,牛乳,673,834
5,232050,2017,7,5,ごはん,ぶたにくのやきにくいため,ごぼうサラダ       マヨネーズ,かぼちゃのみそしる,,牛乳,588,757
6,232050,2017,7,6,ごはん,★えびしゅうまい（小２こ・中３こ）,マーボーどうふ,バンバンジーサラダ,,牛乳,619,799
7,232050,2017,7,7,ごはん,★ほしがたコロッケ,オクラのおひたし,★たなばたじる　　　　,★たなばたゼリー,牛乳,614,761
8,232050,2017,7,8,,,,,,,,
9,232050,2017,7,9,,,,,,,,
10,232050,2017,7,10,ごはん,えだまめごはんのぐ,ゴーヤチャンプル,★もずくとにくだんごのスープ　　,ヨーグルト,牛乳,610,781
11,232050,2017,7,11,むぎごはん,ハヤシライス,とりにくのハーブやき,ブロッコリーサラダ　　　,,牛乳,623,784
12,232050,2017,7,12,ごはん,★いかフライのレモンソース,にくじゃが,きゅうりのあおじそあえ,,牛乳,661,827
13,232050,2017,7,13,ミルク  ロールパン,フランクフルトのケチャップソースかけ,キャベツのクリームスープ,★フルーツのゼリーあえ,,牛乳,689,848
14,232050,2017,7,14,ごはん,ぶたどん,ひじきとはるさめのあえもの,みそしる　　　　,キャンディチーズ（２こ）,牛乳,577,720
15,232050,2017,7,15,,,,,,,,
16,232050,2017,7,16,,,,,,,,
17,232050,2017,7,17,,,,,,,,
18,232050,2017,7,18,ちゅうか  めん,ごもくちゅうかスープ,★あげぎょうざ(小２こ・中３こ),ちゅうかふうあえもの　　　,★かんそうこざかな,牛乳,647,819
19,232050,2017,7,19,むぎごはん,なつやさいカレー,★オムレツのトマトソース,コールスローサラダ　　　,★Ａプリンまたは、Ｂパインゼリー,牛乳,670,828
20,232050,2017,7,20,,,,,,,,
21,232050,2017,7,21,,,,,,,,
22,232050,2017,7,22,,,,,,,,
23,232050,2017,7,23,,,,,,,,
24,232050,2017,7,24,,,,,,,,
25,232050,2017,7,25,,,,,,,,
26,232050,2017,7,26,,,,,,,,
27,232050,2017,7,27,,,,,,,,
28,232050,2017,7,28,,,,,,,,
29,232050,2017,7,29,,,,,,,,
30,232050,2017,7,30,,,,,,,,
31,232050,2017,7,31,,,,,,,,
