handa_kyushoku_menu_201901,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,1,1,,,,,,,,
2,232050,2019,1,2,,,,,,,,
3,232050,2019,1,3,,,,,,,,
4,232050,2019,1,4,,,,,,,,
5,232050,2019,1,5,,,,,,,,
6,232050,2019,1,6,,,,,,,,
7,232050,2019,1,7,,,,,,,,
8,232050,2019,1,8,ごはん,ツナそぼろ,★キャベツいりつくね,みそしる,てまきのり,牛乳,641,809
9,232050,2019,1,9,ごはん,ぶたにくのやきにくふういため,はっぽうさい,みかん,,牛乳,565,717
10,232050,2019,1,10,ナン,カレービーンズ,れんこんチップス,ハムサラダ,★コーヒーぎゅうにゅうのもと,牛乳,615,744
11,232050,2019,1,11,ごはん,★さばぎんがみやき,ブロッコリーのごまあえ,ごもくぞうに,★かんそうくろまめ,牛乳,626,784
12,232050,2019,1,12,,,,,,,,
13,232050,2019,1,13,,,,,,,,
14,232050,2019,1,14,,,,,,,,
15,232050,2019,1,15,ごはん,★あつやきたまご,にあえ,にくじゃが,,牛乳,604,761
16,232050,2019,1,16,ごはん,★コロッケ,ひじきのいために,★いわしのつみれじる,,牛乳,622,776
17,232050,2019,1,17,クロス  ロールパン,やきそば,★とうふだんご（２こ）,だいコーンサラダ,,牛乳,686,874
18,232050,2019,1,18,むぎごはん,★はるまき,マーボーどうふ,ちゅうかあえ,,牛乳,674,843
19,232050,2019,1,19,,,,,,,,
20,232050,2019,1,20,,,,,,,,
21,232050,2019,1,21,ごはん,とりめしのぐ,★さんまのみぞれに,さわにわん,★ういろう,牛乳,632,788
22,232050,2019,1,22,あいちの  こめこいり  パン,ハムステーキ,あいちのふゆやさいいりとうにゅうシチュー,みかん,,牛乳,624,719
23,232050,2019,1,23,ごはん,さばのしおやき,みそおでん,ほうれんそうとはくさいのごまあえ,,牛乳,675,845
24,232050,2019,1,24,きしめん,わふうじる,★とりにくとレバーのてばさきソースふう,★あいちのみかんゼリーポンチ,,牛乳,746,879
25,232050,2019,1,25,ごはん,★とうふハンバーグのみそかけ,しらすとこまつなのあまずあえ,ごんのたまごのかきたまじる,,牛乳,555,703
26,232050,2019,1,26,,,,,,,,
27,232050,2019,1,27,,,,,,,,
28,232050,2019,1,28,ごはん,★ししゃもフライのなんばんづけ（２び）,はくさいとキャベツとわかめのあえもの,なまあげのうまに,,牛乳,644,795
29,232050,2019,1,29,むぎごはん,カレー,とりにくのハーブやき,ほうれんそうとコーンのサラダ,,牛乳,649,814
30,232050,2019,1,30,ごはん,★いかフライ,おやこに,きりぼしだいこんのあまずあえ,,牛乳,656,819
31,232050,2019,1,31,ミルクロールパン,★ハンバーグのケチャップソース,やさいとウインナーのポトフ,おいもサラダ,マヨネーズ,牛乳,684,864
