handa_kyushoku_menu_201706,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,6,1,ごはん,★ハンバーグのきのこソースかけ,もやしのソテー,たまふじる,ひとくちピーチゼリー,牛乳,583,742
2,232050,2017,6,2,ごはん,さばのごまみそかけ,いかとわかめのあえもの,けんちんじる,,牛乳,596,752
3,232050,2017,6,3,,,,,,,,
4,232050,2017,6,4,,,,,,,,
5,232050,2017,6,5,ごはん,★たこのからあげ,きんぴらごぼう,みだくさんじる,,牛乳,588,743
6,232050,2017,6,6,ちゅうかめん,ごもくちゅうかスープ,★ぎょうざ（小２こ・中３こ）,だいずとこざかなのナッツがらめ,,牛乳,659,821
7,232050,2017,6,7,はつがげんまいごはん,ちりめんさけごはんのぐ,きりぼしだいこんのごまあえ,じゃがいものそぼろに,,牛乳,593,745
8,232050,2017,6,8,ごはん,えだまめごはんのぐ,★コロッケ,ちくぜんに,,牛乳,634,791
9,232050,2017,6,9,むぎごはん,カレー,ごぼうサラダ,オレンジ,,牛乳,582,733
10,232050,2017,6,10,,,,,,,,
11,232050,2017,6,11,,,,,,,,
12,232050,2017,6,12,ミルク  ロール  パン,とりにくのハーブやき,ポテトサラダ,マヨネーズ,ミネストローネ,牛乳,675,819
13,232050,2017,6,13,ごはん,★あじフライのレモンソースかけ,やさいとわかめのあえもの,かきたまじる,,牛乳,622,778
14,232050,2017,6,14,ごはん,ぶたキムチどん,えだまめ,なまあげのちゅうかに,,牛乳,638,801
15,232050,2017,6,15,ごはん,★けんちんしのだのにくみそかけ,こまつなとツナのあえもの,とうがんじる,,牛乳,622,780
16,232050,2017,6,16,ごはん,★まぐろとやさいのあげに,ぶたじる,れいとうみかん,,牛乳,622,786
17,232050,2017,6,17,,,,,,,,
18,232050,2017,6,18,,,,,,,,
19,232050,2017,6,19,ごはん,おやこどんぶり　,さばのてりやき,おかかあえ,,牛乳,631,790
20,232050,2017,6,20,きしめん,わふうじる,★かきあげ,ミニトマト（２こ）,,牛乳,658,754
21,232050,2017,6,21,ごはん,マーボーなす,★しゅうまい（小２こ・中３こ）,かりもりとひじきのごまあえ,,牛乳,604,778
22,232050,2017,6,22,あいちの  こめこいり  パン,トマトスパゲティ,★オムレツ,あまなつのゼリーよせ,,牛乳,726,842
23,232050,2017,6,23,ごはん,たこめしのぐ,★ささみうめしそフライ,たまねぎのみそしる,,牛乳,644,790
24,232050,2017,6,24,,,,,,,,
25,232050,2017,6,25,,,,,,,,
26,232050,2017,6,26,むぎごはん,ハヤシライス,★ごぼういりつくね（小２こ・中３こ）,だいこんサラダ,,牛乳,619,805
27,232050,2017,6,27,わかめ  ごはん,★あつやきたまご,きゅうりのごまあえ,にくじゃが,,牛乳,584,737
28,232050,2017,6,28,ごはん,★にくだんごのすぶた,バンバンジーサラダ,はっぽうたん,キャンディチーズ（２こ）,牛乳,628,780
29,232050,2017,6,29,きなこ  あげパン,ポークビーンズ,スパゲティサラダ,ヨーグルト,,牛乳,610,743
30,232050,2017,6,30,ごはん,にくひじきごはんのぐ,さけのマヨネーズやき,かぼちゃのみそしる,,牛乳,638,798
