handa_kyushoku_menu_201712,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,12,1,むぎごはん,ハヤシライス,小　とりにくのバーベキューソースかけ,中　あげどりのバーベキューソース２こ,まめまめサラダ        ドレッシング,牛乳,685,927
2,232050,2017,12,2,,,,,,,,
3,232050,2017,12,3,,,,,,,,
4,232050,2017,12,4,ごはん,★さばぎんがみやき,はくさいのこんぶあえ,すいとん,,牛乳,577,729
5,232050,2017,12,5,きなこあげパン,ポークビーンズ,スパゲティサラダ,ヨーグルト,,牛乳,610,743
6,232050,2017,12,6,ごはん,ぶたにくとキャベツのみそいため,おやこに,みかん,,牛乳,627,775
7,232050,2017,12,7,ごはん,★はるまき,バンサンスー,★にくだんごとチンゲンサイのスープ,,牛乳,578,728
8,232050,2017,12,8,ごはん,小　さけのマヨネーズやき,中　★いかフライ,こまつなのごまあえ,こんさいのみそしる,牛乳,603,771
9,232050,2017,12,9,,,,,,,,
10,232050,2017,12,10,,,,,,,,
11,232050,2017,12,11,ごはん,ごもくごはんのぐ,★コロッケ,ごじる,,牛乳,674,839
12,232050,2017,12,12,ちゅうか  めん,ごもくちゅうかスープ,★ぎょうざ（小２こ・中３こ）,ひじきのちゅうかあえ,,牛乳,589,736
13,232050,2017,12,13,ごはん,ぶりのみりんやき,やさいとわかめのあえもの,なまあげのうまに,,牛乳,629,797
14,232050,2017,12,14,むぎごはん,チキンライスのぐ,★オムレツのデミソースかけ,ふゆやさいのスープに,キャンディチーズ（２こ）,牛乳,631,785
15,232050,2017,12,15,ごはん,まぐろとやさいのあげに,ぶたじる,りんご,,牛乳,622,780
16,232050,2017,12,16,,,,,,,,
17,232050,2017,12,17,,,,,,,,
18,232050,2017,12,18,はつがげんまいごはん,★しゅうまい（小２こ・中３こ）,だいずとこざかなのナッツがらめ,マーボーどうふ,,牛乳,685,893
19,232050,2017,12,19,ごはん,みそおでん,★いわしのうめに,みかん,,牛乳,635,794
20,232050,2017,12,20,むぎごはん,カレー,★クリスピーチキン,ブロッコリーサラダ　,セレクトデザート（★クリスマスカップ）（★ガトーショコラ）（★りんごゼリー）,牛乳,765,939
21,232050,2017,12,21,くろロールパン,★ハンバーグのきのこソースかけ,かぼちゃポタージュ,★ゆずゼリーポンチ,,牛乳,691,866
22,232050,2017,12,22,,,,,,,,
23,232050,2017,12,23,,,,,,,,
24,232050,2017,12,24,,,,,,,,
25,232050,2017,12,25,,,,,,,,
26,232050,2017,12,26,,,,,,,,
27,232050,2017,12,27,,,,,,,,
28,232050,2017,12,28,,,,,,,,
29,232050,2017,12,29,,,,,,,,
30,232050,2017,12,30,,,,,,,,
31,232050,2017,12,30,,,,,,,,
