handa_kyushoku_menu_201812,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,12,1,,,,,,,,
2,232050,2018,12,2,,,,,,,,
3,232050,2018,12,3,ごはん,たこめしのぐ,★ミンチカツ,みだくさんじる,,牛乳,638,805
4,232050,2018,12,4,ごはん,★さばのぎんがみやき,キャベツのおかかあえ,だいこんとぶたにくのにもの,,牛乳,593,748
5,232050,2018,12,5,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,★もずくとえびだんごのスープ,ヨーグルト,牛乳,611,784
6,232050,2018,12,6,うどん,カレーなんばん,ちくわのいそべあげ（２こ）,みかん,,牛乳,634,771
7,232050,2018,12,7,ごはん,★ごもくあつやきたまご,ひじきのいために,にくじゃが,,牛乳,604,761
8,232050,2018,12,8,,,,,,,,
9,232050,2018,12,9,,,,,,,,
10,232050,2018,12,10,ごはん,★けんちんしのだにくみそかけ,キャベツのゆかりあえ,のっぺいじる,,牛乳,595,746
11,232050,2018,12,11,ごはん,★わふうコロッケ,こまつなとツナのあえもの,なまあげのうまに,,牛乳,647,812
12,232050,2018,12,12,クロロールパン,フランクフルトバーベキューソースかけ,れんこんサラダ,ごまドレッシング,ふゆやさいのクリームスープ,牛乳,709,871
13,232050,2018,12,13,ごはん,まぐろとやさいのあげに,ぶたじる,りんご,,牛乳,625,783
14,232050,2018,12,14,ごはん,チキンライスのぐ,★オムレツのデミソースかけ,やさいとウィンナーのポトフ,,牛乳,625,785
15,232050,2018,12,15,,,,,,,,
16,232050,2018,12,16,,,,,,,,
17,232050,2018,12,17,ごはん,★コーンしゅうまい（２こ）,ビーフンいため,マーボーどうふ,,牛乳,642,818
18,232050,2018,12,18,ごはん,ハヤシライス,★あいちのだいずいりナゲット（２こ）,きりぼしだいこんのツナサラダ,,牛乳,686,849
19,232050,2018,12,19,ごはん,★いわしのうめに,やさいとわかめのあえもの,はんだのたまごのおやこに,,牛乳,609,768
20,232050,2018,12,20,あいちのこめこいりパン,かぼちゃととうにゅうのポタージュ,★チキンのアーモンドあげ,ブロッコリーサラダ,★セレクトデザート（いよかんゼリー・ｸﾘｽﾏｽｶｯﾌﾟﾃﾞｻﾞｰﾄ・お米のﾒｰﾌﾟﾙﾏﾌｨﾝ),牛乳,786,904
21,232050,2018,12,21,,,,,,,,
22,232050,2018,12,22,,,,,,,,
23,232050,2018,12,23,,,,,,,,
24,232050,2018,12,24,,,,,,,,
25,232050,2018,12,25,,,,,,,,
26,232050,2018,12,26,,,,,,,,
27,232050,2018,12,27,,,,,,,,
28,232050,2018,12,28,,,,,,,,
29,232050,2018,12,29,,,,,,,,
30,232050,2018,12,30,,,,,,,,
31,232050,2018,12,31,,,,,,,,
