handa_kyushoku_menu_201804,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,4,1,,,,,,,,
2,232050,2018,4,2,,,,,,,,
3,232050,2018,4,3,,,,,,,,
4,232050,2018,4,4,,,,,,,,
5,232050,2018,4,5,,,,,,,,
6,232050,2018,4,6,,,,,,,,
7,232050,2018,4,7,,,,,,,,
8,232050,2018,4,8,,,,,,,,
9,232050,2018,4,9,ごはん,てづくりかきあげ,おかかあえ,みそしる,,牛乳,,767
10,232050,2018,4,10,ごはん,★ごもくあつやきたまご,にくじゃが,きゅうりとたくあんのあえもの,★中おいわいデザート,牛乳,584,777
11,232050,2018,4,11,わかめごはん,★みそかつ,はるやさいのうまに,オレンジ,,牛乳,663,794
12,232050,2018,4,12,ソフトめん,ミートソース,ハムとやさいのマリネ,れんこんチップス,,牛乳,671,827
13,232050,2018,4,13,ごはん,★ふきいりちらしずしのぐ,★きゃべついりつくね,わかたけじる,★かんそうこざかな,牛乳,548,698
14,232050,2018,4,14,,,,,,,,
15,232050,2018,4,15,,,,,,,,
16,232050,2018,4,16,ごはん,★はるまき,マーボーどうふ,だいこんのナムル,,牛乳,674,821
17,232050,2018,4,17,ごはん,にくひじきごはんのぐ,★コロッケ,★ゆばとえびだんごのすましじる,,牛乳,646,807
18,232050,2018,4,18,むぎごはん,カレーライス,★オムレツのトマトソース,きりぼしだいこんとツナのサラダ,,牛乳,647,795
19,232050,2018,4,19,あいちのこめこいりパン,★ハンバーグのバーベキュソースかけ,ポークビーンズ,★フルーツしらたま,,牛乳,708,800
20,232050,2018,4,20,ごはん,★あじフライのレモンソース,おやこに,ごもくきんぴら,,,703,847
21,232050,2018,4,21,,,,,,,,
22,232050,2018,4,22,,,,,,,,
23,232050,2018,4,23,ごはん,ビビンバ（にく）ビビンバ（ナムル）,ビーフンスープ,★小おいわいデザート,★中がまごおりみかんプチゼリー（２こ）,牛乳,574,725
24,232050,2018,4,24,ごはん,ハヤシライス,とりにくのハーブあげ,コールスローサラダ,,牛乳,672,812
25,232050,2018,4,25,ごはん,★ぎょうざ（小２こ　中３こ）,チンジャオロース,ちゅうかふうたまごスープ,,牛乳,563,733
26,232050,2018,4,26,きなこあげパン,やさいとウインナーのポトフ,ブロッコリーサラダ,小　キャンディチーズ（小２こ）,中ヨーグルト,牛乳,567,700
27,232050,2018,4,27,ごはん,たけのこごはんのぐ,さばのしおやき,ぶたじる,,牛乳,670,808
28,232050,2018,4,28,,,,,,,,
29,232050,2018,4,29,,,,,,,,
30,232050,2018,4,30,,,,,,,,
