handa_kyushoku_menu_201905,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,5,1,,,,,,,,
2,232050,2019,5,2,,,,,,,,
3,232050,2019,5,3,,,,,,,,
4,232050,2019,5,4,,,,,,,,
5,232050,2019,5,5,,,,,,,,
6,232050,2019,5,6,,,,,,,,
7,232050,2019,5,7,麦ごはん,カレー,鶏肉のマーマレードソース,フレンチサラダ,,牛乳,668,835
8,232050,2019,5,8,ごはん,★ぎょうざ,ひじきの中華和え,マーボー豆腐,,牛乳,655,844
9,232050,2019,5,9,ごはん,★さばの銀紙焼き,小松菜とかつおの和え物,★鶏肉団子と山菜のすまし汁,,牛乳,593,748
10,232050,2019,5,10,くろロールパン,★ロールキャベツ,だいコーンサラダ,ポークビーンズ,,牛乳,593,749
11,232050,2019,5,11,,,,,,,,
12,232050,2019,5,12,,,,,,,,
13,232050,2019,5,13,ごはん,ツナそぼろごはんの具,★和風コロッケ,けんちん汁,,牛乳,678,846
14,232050,2019,5,14,ごはん,★照り焼きハンバーグ,切り干し大根の和え物,肉じゃが,,牛乳,627,804
15,232050,2019,5,15,ごはん,★いわしの梅煮,野菜とわかめの和え物,大根と豚肉の煮物,,牛乳,576,733
16,232050,2019,5,16,小型ロールパン,焼きそば,★ごぼう入りつくね（２こ）,ブロッコリーサラダ,,牛乳,593,775
17,232050,2019,5,17,ごはん,知多半島産納豆,きんぴらごぼう,かきたま汁,,牛乳,571,709
18,232050,2019,5,18,,,,,,,,
19,232050,2019,5,19,,,,,,,,
20,232050,2019,5,20,ごはん,★かつおフライ,元気サラダ,★えび団子汁,,牛乳,580,766
21,232050,2019,5,21,麦ごはん,ビビンバ（肉）,ビビンバ（ナムル）,ビーフンスープ,ヨーグルト,牛乳,591,773
22,232050,2019,5,22,ごはん,★あじフライレモンソース,キャベツのゆかり和え,豚汁,,牛乳,606,763
23,232050,2019,5,23,スライスパン,フランクフルトバーベキューソースかけ,イタリアンサラダ,アスパラのクリームスープ,★大豆チョコクリーム,牛乳,704,892
24,232050,2019,5,24,ごはん,絹豆腐の鶏そぼろあんかけ,きゅうりとたくあんの和え物,親子煮,,牛乳,601,738
25,232050,2019,5,25,,,,,,,,
26,232050,2019,5,26,,,,,,,,
27,232050,2019,5,27,ごはん,★野菜はんぺん,小松菜とツナの和え物,じゃが芋のそぼろ煮,,牛乳,585,738
28,232050,2019,5,28,ごはん,ハヤシライス,★エビカツ,ハムと野菜のマリネ,,牛乳,621,787
29,232050,2019,5,29,ごはん,★五目厚焼き卵,★野菜と海藻の和え物,生揚げのうま煮,,牛乳,608,767
30,232050,2019,5,30,ごはん,鶏めしの具,さばのおろしかけ,たまねぎのみそ汁,,牛乳,633,796
31,232050,2019,5,31,中華めん,五目中華スープ,★鶏とレバーの手羽先ソース風,切り干し大根のナムル,,牛乳,655,796
