handa_kyushoku_menu_201711,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,11,1,わかめごはん,だいこんとぶたにくのにもの,★けんちんしのだのにくみそかけ,みかん,,牛乳,639,806
2,232050,2017,11,2,ごはん,なまあげのちゅうかに,★やきぎょうざ（小２こ　中３こ）,やさいとひじきのナムル,,牛乳,622,803
3,232050,2017,11,3,,,,,,,,
4,232050,2017,11,4,,,,,,,,
5,232050,2017,11,5,,,,,,,,
6,232050,2017,11,6,ごはん,ひきずり,★あつやきたまご,おかかあえ,,牛乳,598,752
7,232050,2017,11,7,むぎごはん,カレーライス,★さつまいもコロッケ,こんさいサラダ     　,,牛乳,688,860
8,232050,2017,11,8,ごはん,★いわしのかばやき,ごじる,やさいとこんぶのレモンあえ,,牛乳,610,781
9,232050,2017,11,9,ロールパン,★ハンバーグのバーベキューソース,ミネストローネ,もやしのカレーサラダ,,牛乳,642,810
10,232050,2017,11,10,ごはん,★ホキとこおりとうふのチリソースあえ,★にくだんごとチンゲンサイのスープ,りんご,,牛乳,592,742
11,232050,2017,11,11,,,,,,,,
12,232050,2017,11,12,,,,,,,,
13,232050,2017,11,13,ごはん,さけのしおやき,みそおでん,ほうれんそうのごまあえ,,牛乳,632,792
14,232050,2017,11,14,ソフトめん,ミートソース,れんこんチップス,ツナサラダ,マヨネーズ,牛乳,748,932
15,232050,2017,11,15,ごはん,マーボーどうふ,★シューマイ（小２こ　中３こ）,ビーフンいため,,牛乳,641,819
16,232050,2017,11,16,ミルクロール  パン,ふゆやさいのクリームスープ,とりにくのハーブやき,コールスローサラダ,,牛乳,644,794
17,232050,2017,11,17,ごはん,★みそカツ,かきたまじる,きりぼしだいこんのあまずあえ,,牛乳,659,818
18,232050,2017,11,18,,,,,,,,
19,232050,2017,11,19,,,,,,,,
20,232050,2017,11,20,ごはん,きのこごはんのぐ,★ししゃもフライのなんばんづけ（２び）,さわにわん,★がまごおりみかんゼリー,牛乳,705,853
21,232050,2017,11,21,レーズン  ロールパン,ポトフ,★オムレツのトマトソースかけ,れんこんサラダ,ごまドレッシング,牛乳,701,855
22,232050,2017,11,22,ごはん,★あじフライのレモンソース,けんちんじる,うのはなに,,牛乳,614,770
23,232050,2017,11,23,,,,,,,,
24,232050,2017,11,24,ごはん,ぶたじる,★チキンたつたあげ,こまつなとエリンギのソテー,キャンディチーズ(小２こ・中３こ),牛乳,609,782
25,232050,2017,11,25,,,,,,,,
26,232050,2017,11,26,,,,,,,,
27,232050,2017,11,27,ごはん,★さばのみそに,じゃがいものそぼろに,はくさいのゆかりあえ,,牛乳,611,772
28,232050,2017,11,28,うどん,カレーなんばん,こざかなとあげだいずのくるみがらめ,みかん,,牛乳,678,799
29,232050,2017,11,29,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,キムチスープ,ヨーグルト,牛乳,620,807
30,232050,2017,11,30,ごはん,★さわらのさいきょうやき,のっぺいじる,やさいとえのきのあえもの,★こうはくもち,牛乳,599,744
