handa_kyushoku_menu_201906,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,6,1,,,,,,,,
2,232050,2019,6,2,,,,,,,,
3,232050,2019,6,3,ごはん,★たことじゃが芋のから揚げ,いんげんのごま和え,湯葉と豆腐のすまし汁,,牛乳,574,727
4,232050,2019,6,4,ごはん,鶏肉のカレー焼き,昆布豆,★いわしのつみれ汁,,牛乳,579,729
5,232050,2019,6,5,ごはん,★さんまの銀紙焼き,きゅうりのゆかり和え,根菜煮,,牛乳,599,751
6,232050,2019,6,6,きなこ揚げパン,ポークビーンズ,パスタサラダ,ヨーグルト,,牛乳,596,749
7,232050,2019,6,7,ごはん,肉ひじきごはんの具,★キャベツ入りつくね,豚汁,★乾燥小魚,牛乳,610,778
8,232050,2019,6,8,,,,,,,,
9,232050,2019,6,9,,,,,,,,
10,232050,2019,6,10,麦ごはん,カレー,ブロッコリーサラダ,オレンジ,,牛乳,581,744
11,232050,2019,6,11,ごはん,豚キムチ炒め,★大豆ナゲット,中華コーンスープ,,牛乳,607,804
12,232050,2019,6,12,ごはん,さわらの照り焼き,きゅうりともやしのごま酢和え,肉じゃが,★蒲郡みかんゼリー,牛乳,650,812
13,232050,2019,6,13,くろロールパン,★オムレツのトマトソース,ツナサラダ,アスパラの豆乳シチュー,,牛乳,656,808
14,232050,2019,6,14,ソフトめん,和風汁,ちくわの磯辺揚げ,五目きんぴら,,牛乳,679,865
15,232050,2019,6,15,,,,,,,,
16,232050,2019,6,16,,,,,,,,
17,232050,2019,6,17,ごはん,★愛知のれんこんハンバーグ野菜あんかけ,★梅肉和え,玉ねぎとじゃが芋のみそ汁,,牛乳,557,704
18,232050,2019,6,18,ごはん,★愛知の青じそ入りあじフライ,野菜炒め,肉豆腐,,牛乳,651,813
19,232050,2019,6,19,ごはん,照り焼きチキン,いかとわかめの酢のもの,ごんの卵のかき玉汁,,牛乳,586,739
20,232050,2019,6,20,愛知の米粉入りパン,なすとトマトのスパゲティ,コーンサラダ,冷凍みかん,,牛乳,668,765
21,232050,2019,6,21,麦ごはん,★さばの八丁みそ煮,かりもりとひじきの和え物,大根と豚肉の煮物,,牛乳,608,768
22,232050,2019,6,22,,,,,,,,
23,232050,2019,6,23,,,,,,,,
24,232050,2019,6,24,ごはん,★厚焼き卵,焼き肉風炒め,沢煮椀,★アーモンド入り小魚,牛乳,575,732
25,232050,2019,6,25,ごはん,★えびしゅうまい,バンバンジーサラダ,マーボー豆腐,,牛乳,651,839
26,232050,2019,6,26,ごはん,★チキン竜田揚げ,小松菜の和え物,とうがん汁,,牛乳,579,706
27,232050,2019,6,27,ロールパン,焼きフランク,ポテトサラダ,マヨネーズ,野菜スープ,牛乳,678,833
28,232050,2019,6,28,ソフトめん,ミートソース,ハムと野菜のマリネ,★フルーツのゼリー和え,,牛乳,701,862
29,232050,2019,6,29,,,,,,,,
30,232050,2019,6,30,,,,,,,,
