handa_kyushoku_menu_201710,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,10,1,,,,,,,,
2,232050,2017,10,2,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,ビーフンスープ,ヨーグルト,牛乳,593,779
3,232050,2017,10,3,ソフトめん,にくみそかけ,ひとくちやきいも（小２こ中３こ）,やさいとこおりどうふのあえもの,,牛乳,707,888
4,232050,2017,10,4,ごはん,さばのおろしかけ,いかとさといものにもの,きゅうりとたくあんのあえもの,つきみだんご,牛乳,748,901
5,232050,2017,10,5,ごはん,ちらしずしのぐ　,★わふうコロッケ,のっぺいじる,てまきのり,牛乳,617,773
6,232050,2017,10,6,ごはん,★ごぼういりつくね（小２こ中３こ）,れんこんサラダ　　,ごまドレッシング,さつまじる,牛乳,628,799
7,232050,2017,10,7,,,,,,,,
8,232050,2017,10,8,,,,,,,,
9,232050,2017,10,9,,,,,,,,
10,232050,2017,10,10,ごはん,マーボーどうふ,★ぎょうざ（小２こ中３こ）,ひじきのちゅうかあえ,,牛乳,621,800
11,232050,2017,10,11,むぎごはん,カレーライス,★オムレツのトマトソースかけ,コーンサラダ,,牛乳,625,785
12,232050,2017,10,12,ごはん,★サーモンフライのレモンソース,もやしとエリンギのソテー,さといものみそしる,,牛乳,611,763
13,232050,2017,10,13,ミルクロールパン,★フランクフルトのケチャップソース,はくさいのクリームスープ,ブロッコリーサラダ　,,牛乳,648,804
14,232050,2017,10,14,,,,,,,,
15,232050,2017,10,15,,,,,,,,
16,232050,2017,10,16,ごはん,★ハンバーグのきのこソース,ぶたにくとだいこんのにもの,まめまめサラダ,ドレッシング,牛乳,627,796
17,232050,2017,10,17,ちゅうかめん,ごもくちゅうかスープ,とりのからあげ（小１こ中２こ）,こまつなのナムル,,牛乳,655,813
18,232050,2017,10,18,わかめごはん,★いわしのうめに,ちくぜんに,りんご,,,568,721
19,232050,2017,10,19,ごはん,おやこに,★けんちんしのだのにくみそかけ,キャベツのあえもの,★がまごおりみかんゼリー,牛乳,720,855
20,232050,2017,10,20,ごはん,さつまいもごはんのぐ,★さんまのかばやき,ごじる,,牛乳,687,864
21,232050,2017,10,21,,,,,,,,
22,232050,2017,10,22,,,,,,,,
23,232050,2017,10,23,むぎごはん,ハヤシライス,とりにくのハーブやき,コールスローサラダ,,牛乳,608,765
24,232050,2017,10,24,ごはん,★まぐろとやさいのあげに,すいとん,みかん,,牛乳,621,783
25,232050,2017,10,25,きなこあげパン,ポークビーンズ,ハムとやさいのマリネ,キャンディチーズ（小２こ中３こ）,,牛乳,554,670
26,232050,2017,10,26,むぎごはん,ツナそぼろごはんのぐ,★あつやきたまご,ぶたじる,,牛乳,638,798
27,232050,2017,10,27,ごはん,はっぽうさい,★しゅうまい（小２こ中３こ）,バンバンジーサラダ,★アーモンドいりこざかな,牛乳,595,773
28,232050,2017,10,28,,,,,,,,
29,232050,2017,10,29,,,,,,,,
30,232050,2017,10,30,ごはん,★さばのぎんがみやき,にくじゃが,ゆかりあえ,,牛乳,616,775
31,232050,2017,10,31,あいちのこめこいりパン,★かぼちゃコロッケ,やさいのスープに,フルーツのヨーグルトあえ,,牛乳,687,757
