handa_kyushoku_menu_201903,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,3,1,ミルクロールパン,★いかフライ,コールスローサラダ,ポークビーンズ,★ひなあられ,牛乳,713,886
2,232050,2019,3,2,,,,,,,,
3,232050,2019,3,3,,,,,,,,
4,232050,2019,3,4,ごはん,★はるまき,きりぼしだいこんのナムル,マーボーどうふ,,牛乳,690,866
5,232050,2019,3,5,りんごパン,やきそば,★オムレツのデミソースかけ,ブロッコリーサラダ,,牛乳,671,750
6,232050,2019,3,6,ごはん,★さんまのぎんがみやき,ひじきのいために,のっぺいじる,,牛乳,593,912
7,232050,2019,3,7,ソフトめん,カレーなんばん,★あじフライ,ごもくきんぴら,,牛乳,738,732
8,232050,2019,3,8,ごはん,なばないりちらしずしのぐ,★さわらさいきょうやき,さわにわん,★ひとくちゼリー（ピーチ）,牛乳,561,792
9,232050,2019,3,9,,,,,,,,
10,232050,2019,3,10,,,,,,,,
11,232050,2019,3,11,ごはん,ちくわのいそべあげ,やさいとわかめのあえもの,だいこんとぶたにくのにもの,,牛乳,609,782
12,232050,2019,3,12,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,ビーフンスープ,ヨーグルト,牛乳,594,847
13,232050,2019,3,13,ごはん,さばのしおやき,きゅうりとたくあんのあえもの,おやこに,,牛乳,677,806
14,232050,2019,3,14,あいちのこめこいりパン,★ハンバーグのバーベキューソース,やさいのクリームスープ,いよかん,★ココアぎゅうにゅうのもと,牛乳,694,852
15,232050,2019,3,15,ごはん,★みそカツ,やさいとこおりとうふのあえもの,★すいとん,,牛乳,680,877
16,232050,2019,3,16,,,,,,,,
17,232050,2019,3,17,,,,,,,,
18,232050,2019,3,18,むぎごはん,カレー,★あいちけんさんやさいコロッケ,れんこんサラダ　　,★おいわいデザート,牛乳,699,840
19,232050,2019,3,19,わかめごはん,★ぶりのみりんやき,きりぼしだいこんのごまあえ,じゃがいものそぼろに,,牛乳,663,806
20,232050,2019,3,20,,,,,,,,
21,232050,2019,3,21,,,,,,,,
22,232050,2019,3,22,,,,,,,,
23,232050,2019,3,23,,,,,,,,
24,232050,2019,3,24,,,,,,,,
25,232050,2019,3,25,,,,,,,,
26,232050,2019,3,26,,,,,,,,
27,232050,2019,3,27,,,,,,,,
28,232050,2019,3,28,,,,,,,,
29,232050,2019,3,29,,,,,,,,
30,232050,2019,3,30,,,,,,,,
31,232050,2019,3,31,,,,,,,,
