handa_kyushoku_menu_201705,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,5,1,ごはん,★てりやきハンバーグ,ぶたにくとだいこんのにもの,キャベツのゆかりあえ,,牛乳,551,680
2,232050,2017,5,2,うどん,さんさいじる,ちくわのいそべあげ（２こ）,おかかあえ,★かしわもち,牛乳,703,793
3,232050,2017,5,3,,,,,,,,
4,232050,2017,5,4,,,,,,,,
5,232050,2017,5,5,,,,,,,,
6,232050,2017,5,6,,,,,,,,
7,232050,2017,5,7,,,,,,,,
8,232050,2017,5,8,ごはん,マーボーどうふ,★しゅうまい（小２こ中３こ）,ひじきのちゅうかあえ,,牛乳,625,801
9,232050,2017,5,9,クロロールパン,★オムレツのトマトソース,ポテトサラダ　　,オニオンスープ,,牛乳,627,764
10,232050,2017,5,10,ごはん,★さばぎんがみやき,にくじゃが,きゅうりとたくあんのあえもの,,牛乳,627,789
11,232050,2017,5,11,むぎごはん,カレー,とりにくのバーベキューソース,だいコーンサラダ,,牛乳,697,864
12,232050,2017,5,12,ごはん,たけのこごはんのぐ,★キャベツいりミンチカツ,みそしる　,,牛乳,644,807
13,232050,2017,5,13,,,,,,,,
14,232050,2017,5,14,,,,,,,,
15,232050,2017,5,15,わかめ  ごはん,★はるまき,はっぽうたん,もやしのナムル,キャンディチーズ（２こ）,牛乳,594,730
16,232050,2017,5,16,ごはん,★ねぎいりたまごやき,なまあげのうまに,かつおとこまつなのあえもの,,牛乳,627,788
17,232050,2017,5,17,ごはん,★ししゃもフライのなんばんづけ,ちくぜんに,きゅうりとキャベツのこんぶあえ,,牛乳,610,748
18,232050,2017,5,18,ミルクロールパン,★フランクフルトのケチャップソースかけ,コーンクリームシチュー,ごぼうサラダ,,牛乳,693,857
19,232050,2017,5,19,ごはん,さばのしおやき,ちたはんとうさんなっとう,ぶたじる,,牛乳,604,747
20,232050,2017,5,20,,,,,,,,
21,232050,2017,5,21,,,,,,,,
22,232050,2017,5,22,ごはん,ふきちらしずしのぐ,★わふうコロッケ,けんちんじる,★アーモンドこざかな,牛乳,649,816
23,232050,2017,5,23,ソフトめん,ミートソースかけ,ツナサラダ,フルーツポンチ,,牛乳,718,884
24,232050,2017,5,24,ごはん,ビビンバ（にく）,ビビンバ（やさいナムル）,もずくちゅうかスープ,ヨーグルト,牛乳,590,748
25,232050,2017,5,25,ごはん,★サーモンフライ,こおりどうふのたまごとじ,きりぼしだいこんのあまずあえ,,牛乳,681,824
26,232050,2017,5,26,ごはん,けんちんしのだのにくみそかけ,きんぴらごぼう,★えびだんごのすましじる,,牛乳,652,788
27,232050,2017,5,27,,,,,,,,
28,232050,2017,5,28,,,,,,,,
29,232050,2017,5,29,むぎごはん,とりにくのからあげ（小１こ中２こ）,ちゅうかふうあえもの,ワンタンスープ,,牛乳,589,769
30,232050,2017,5,30,クロスロールパン,やきそば,★とうふだんご（小２こ中３こ）,ブロッコリーサラダ　,,牛乳,646,822
31,232050,2017,5,31,ごはん,にくひじきごはんのぐ,★いわしのみぞれに,かきたまじる,,牛乳,609,769
