handa_kyushoku_menu_201811,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,11,1,ソフトめん,にくみそかけ,きんぴらごぼう,みかん,,牛乳,660,821
2,232050,2018,11,2,ごはん,★あじフライのレモンソース,うのはなに,★とりだんごのすましじる,,牛乳,624,785
3,232050,2018,11,3,,,,,,,,
4,232050,2018,11,4,,,,,,,,
5,232050,2018,11,5,ごはん,チンジャオロース,★ぎょうざ（小２こ、中３こ）,えびとはるさめのスープ,,牛乳,565,735
6,232050,2018,11,6,ごはん,ちくぜんに,きぬどうふのとりそぼろあんかけ,キャベツのゆかりあえ,★かんそうこざかな,牛乳,554,692
7,232050,2018,11,7,ごはん,にくひじきごはんのぐ,★いわしのみぞれに,かきたまじる,,牛乳,554,701
8,232050,2018,11,8,ごはん,★チキンカツ,やさいのアーモンドあえ,たまふじる,,牛乳,597,731
9,232050,2018,11,9,むぎごはん,カレーライス,とりにくのハーブやき,れんこんサラダ,ごまドレッシング,牛乳,676,837
10,232050,2018,11,10,,,,,,,,
11,232050,2018,11,11,,,,,,,,
12,232050,2018,11,12,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,牛乳,584,749
13,232050,2018,11,13,ミルクロールパン,★さつまいもコロッケ,もやしとエリンギのソテー,ポークビーンズ,,牛乳,667,822
14,232050,2018,11,14,わかめごはん,★ごぼういりつくね（小２こ、中３こ）,はくさいのしらすあえ,だいこんのみそしる,,牛乳,531,694
15,232050,2018,11,15,ちゅうかめん,ごもくちゅうかスープ,★しゅうまい（小２こ、中３こ）,ひじきのちゅうかあえ,,牛乳,591,735
16,232050,2018,11,16,ごはん,★ホキフライ,かぶのあまずあえ,すきやきふうに,,牛乳,628,772
17,232050,2018,11,17,,,,,,,,
18,232050,2018,11,18,,,,,,,,
19,232050,2018,11,19,ごはん,★さばのはっちょうみそに,やさいとわかめのあえもの,じゃがいものそぼろに,,牛乳,621,765
20,232050,2018,11,20,ごはん,ちたはんとうさんなっとう,★ごもくあつやきたまご,けんちんじる,,牛乳,552,685
21,232050,2018,11,21,ごはん,★れんこんサンドフライ,きりぼしだいこんのごまあえ,ぶたじる,★こうはくもち,牛乳,659,804
22,232050,2018,11,22,りんごパン,★ハンバーグのきのこソース,さけとはくさいのクリームスープ,フルーツミックス,,牛乳,650,824
23,232050,2018,11,23,,,,,,,,
24,232050,2018,11,24,,,,,,,,
25,232050,2018,11,25,,,,,,,,
26,232050,2018,11,26,むぎごはん,ハヤシライス,★オムレツ,イタリアンサラダ,,牛乳,583,737
27,232050,2018,11,27,ごはん,とりにくのからあげ,こまつなのナムル,ビーフンスープ,,牛乳,571,745
28,232050,2018,11,28,ごはん,さつまいもごはんのぐ,さわらのてりやき,かぶのみそしる,,牛乳,603,746
29,232050,2018,11,29,きなこあげパン,やさいとウインナーのポトフ,ごぼうサラダ,マヨネーズ,キャンディチーズ（小２こ、中３こ）,牛乳,574,699
30,232050,2018,11,30,ごはん,ぶたどん,★すいとん,りんご,,牛乳,550,693
31,232050,2018,11,31,,,,,,,,
