handa_kyushoku_menu_201709,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2017,9,1,,,,,,,,
2,232050,2017,9,2,,,,,,,,
3,232050,2017,9,3,,,,,,,,
4,232050,2017,9,4,むぎごはん,カレーライス,とりにくのてりやき,コールスローサラダ,,牛乳,639,800
5,232050,2017,9,5,うどん,わふうじる,★かきあげ,きょほう（小２こ・中３こ）,,牛乳,643,736
6,232050,2017,9,6,ごはん,★しゅうまい（小２こ・中３こ）,ひじきのちゅうかあえ,マーボーなす,,牛乳,612,786
7,232050,2017,9,7,ごはん,★さばのぎんがみやき,こまつなのごまあえ,なまあげのうまに,,牛乳,650,815
8,232050,2017,9,8,むぎごはん,チキンライスのぐ,★イカリングフライ（小２こ・中３こ）,やさいのスープに,キャンディーチーズ（２こ）,牛乳,641,810
9,232050,2017,9,9,,,,,,,,
10,232050,2017,9,10,,,,,,,,
11,232050,2017,9,11,ごはん,★キャベツいりつくね,まめまめサラダ,ドレッシング,トマとんじる,牛乳,595,747
12,232050,2017,9,12,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,牛乳,593,765
13,232050,2017,9,13,ごはん,★はるまき,バンサンスー,★えびだんごのスープ,,牛乳,586,740
14,232050,2017,9,14,ごはん,★いわしのうめに,きゅうりとたくあんのあえもの,にくじゃが,,牛乳,607,770
15,232050,2017,9,15,ごはん,★とりにくのたつたあげ,こまつなとツナのあえもの,けんちんじる,★アーモンドいりこざかな,牛乳,596,761
16,232050,2017,9,16,,,,,,,,
17,232050,2017,9,17,,,,,,,,
18,232050,2017,9,18,,,,,,,,
19,232050,2017,9,19,ロールパン,あいちのトマトスパゲティ,★ハンバーグのきのこソース,フルーツミックス,,牛乳,600,864
20,232050,2017,9,20,ごはん,★さといもコロッケ,ハムとやさいのマリネ,なすのみそしる,,牛乳,585,739
21,232050,2017,9,21,ごはん,さばのしおやき,きんぴらごぼう,とうがんじる,,牛乳,643,811
22,232050,2017,9,22,むぎごはん,ハヤシライス,★オムレツ,ひじきのサラダ,,牛乳,602,758
23,232050,2017,9,23,,,,,,,,
24,232050,2017,9,24,,,,,,,,
25,232050,2017,9,25,ごはん,★にくだんごのすぶた,キャベツのごまあえ,ちゅうかふうスープ,,牛乳,582,740
26,232050,2017,9,26,クロロールパン,さけのハーブやき,だいこんサラダ,マヨネーズ,ミネストローネ,牛乳,630,792
27,232050,2017,9,27,ごはん,★えびとだいずのごまがらめ,きりぼしだいこんのあまずあえ,きりぼしだいこんのあまずあえ,★がまごおりみかんゼリー,牛乳,639,786
28,232050,2017,9,28,ごはん,きのこごはんのぐ,★てりやきとうふハンバーグ,さといものみそしる,,牛乳,638,798
29,232050,2017,9,29,はつがげんまいごはん,★さんまのかばやき,キャベツのゆかりあえ,なまあげのそぼろに,,牛乳,681,878
30,232050,2017,9,30,,,,,,,,
