handa_kyushoku_menu_202002,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2020,2,1,,,,,,,,,,
2,232050,2020,2,2,,,,,,,,,,
3,232050,2020,2,3,ごはん,★いわしのしょうが煮,野菜とわかめの和え物,肉じゃが,節分豆,,,牛乳,649,814
4,232050,2020,2,4,麦ごはん,ビビンバ（肉）,ビビンバ（ナムル）,ワンタンスープ,ヨーグルト,,,牛乳,608,799
5,232050,2020,2,5,ごはん,★いかフライ,ひきずり,なばなとかつおの和え物,,,,牛乳,657,826
6,232050,2020,2,6,ミルクロールパン,焼きそば,★オムレツトマトソース,ダイコーンサラダ,,,,牛乳,728,895
7,232050,2020,2,7,ごはん,ハヤシライス,★ししゃもフライの香味ソース,豆と彩野菜のサラダ,,,,牛乳,693,850
8,232050,2020,2,8,,,,,,,,,,
9,232050,2020,2,9,,,,,,,,,,
10,232050,2020,2,10,ごはん,★肉団子の酢豚,生揚げの中華煮,いよかん,,,,牛乳,671,839
11,232050,2020,2,11,,,,,,,,,,
12,232050,2020,2,12,ごはん,★さわら西京焼き,卯の花煮,大根と豚肉の煮物,,,,牛乳,572,728
13,232050,2020,2,13,ごはん,★えびシューマイ,野菜のナムル,マーボー豆腐,,,,牛乳,632,816
14,232050,2020,2,14,ソフトめん,ミートソース,★ハート型コロッケ,コールスローサラダ,★チョコプリン,,,牛乳,805,976
15,232050,2020,2,15,,,,,,,,,,
16,232050,2020,2,16,,,,,,,,,,
17,232050,2020,2,17,ナン,カレービーンズ,ハムステーキ,ツナと野菜のマリネ,,,,牛乳,639,779
18,232050,2020,2,18,ごはん,ちくわの磯辺揚げ,切り干し大根のごま和え,呉汁,,,,牛乳,611,786
19,232050,2020,2,19,ごはん,★キャベツ入りつくね,親子煮,小松菜のおかか和え,,,,牛乳,609,769
20,232050,2020,2,20,きなこ揚げパン,鶏肉とペンネのトマト煮,ブロッコリーサラダ,キャンディチーズ,,,,牛乳,583,700
21,232050,2020,2,21,わかめごはん,さばの塩焼き,金時豆の甘煮,筑前煮,,,,牛乳,704,882
22,232050,2020,2,22,,,,,,,,,,
23,232050,2020,2,23,,,,,,,,,,
24,232050,2020,2,24,,,,,,,,,,
25,232050,2020,2,25,スライスパン,★ハンバーグのデミソース,れんこんサラダ,ポトフ,いちごジャム,,,牛乳,620,767
26,232050,2020,2,26,ごはん,★春巻き,ビーフン炒め,中華スープ,※成岩中３年お祝い給食別メニュー,,,牛乳,600,752
27,232050,2020,2,27,ごはん,鶏肉の照り焼き,★しそひじきの野菜和え,すいとん,※乙川中・亀崎中３年お祝い給食別メニュー,,,牛乳,589,745
28,232050,2020,2,28,うどん,カレー南蛮,★あじフライ,★みかんゼリーポンチ,※半田中・青山中３年お祝い給食別メニュー,,,牛乳,719,850
29,232050,2020,2,29,,,,,,,,,,
