handa_kyushoku_menu_201904,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,4,1,,,,,,,,
2,232050,2019,4,2,,,,,,,,
3,232050,2019,4,3,,,,,,,,
4,232050,2019,4,4,,,,,,,,
5,232050,2019,4,5,,,,,,,,
6,232050,2019,4,6,,,,,,,,
7,232050,2019,4,7,,,,,,,,
8,232050,2019,4,8,ごはん,手作りかき揚げ,小松菜のおかか和え,実だくさん汁,,牛乳,,769
9,232050,2019,4,9,ごはん,さわらのてりやき,はるキャベツのゆかりあえ,にくじゃが,★お祝いデザート（中学校のみ）,牛乳,582,779
10,232050,2019,4,10,麦ごはん,ハヤシライス,★チキンたつたあげ,ハムサラダ,,牛乳,635,803
11,232050,2019,4,11,ごはん,★けんちんしのだのにくみそかけ,いんげんのごまあえ,のっぺいじる,,牛乳,605,760
12,232050,2019,4,12,ソフトめん,ミートソース,イタリアンサラダ,★あまなつのゼリーよせ,,牛乳,669,826
13,232050,2019,4,13,,,,,,,,
14,232050,2019,4,14,,,,,,,,
15,232050,2019,4,15,ごはん,★ふきいりちらしずしのぐ,★しろみざかなフリッター,たまねぎのみそしる,★一口ピーチゼリー（中学校のみ）,牛乳,608,760
16,232050,2019,4,16,ごはん,★しゅうまい,もやしのナムル,マーボーどうふ,,牛乳,602,775
17,232050,2019,4,17,ごはん,★わふうコロッケ,ごもくきんぴら,はるやさいのうまに,,牛乳,638,798
18,232050,2019,4,18,麦ごはん,カレーライス,とりにくのハーブやき,コールスローサラダ,,牛乳,636,797
19,232050,2019,4,19,愛知の米粉入りパン,★ハンバーグのデミソース,ブロッコリーサラダ,ミネストローネ,,牛乳,638,751
20,232050,2019,4,20,,,,,,,,
21,232050,2019,4,21,,,,,,,,
22,232050,2019,4,22,ごはん,ビビンバ（にく）,ビビンバ（ナムル）,ワンタンスープ,★お祝いデザート（小学校のみ）ヨーグルト（中学校のみ）,牛乳,591,790
23,232050,2019,4,23,ごはん,★いわしのうめに,きりぼしだいこんのあまずあえ,すきやきふうに,,牛乳,609,768
24,232050,2019,4,24,ごはん,★にくだんごのすぶた,バンバンジーサラダ,はっぽうたん,,牛乳,595,751
25,232050,2019,4,25,くろロールパン,フランクフルトのケチャップソース,ポテトサラダ,マヨネーズ,オニオンスープ,牛乳,659,807
26,232050,2019,4,26,ごはん,たけのこごはんのぐ,さばのしおやき,ぶたじる,,牛乳,670,840
27,232050,2019,4,27,,,,,,,,
28,232050,2019,4,28,,,,,,,,
29,232050,2019,4,29,,,,,,,,
30,232050,2019,4,30,,,,,,,,
31,232050,2019,4,31,,,,,,,,
