handa_kyushoku_menu_201806,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,6,1,ごはん,さばのしおやき,いかとわかめのあまずあえ,たまふじる,,牛乳,611,772
2,232050,2018,6,2,,,,,,,,
3,232050,2018,6,3,,,,,,,,
4,232050,2018,6,4,わかめごはん,★わふうコロッケ,こまつなとツナのあえもの,ちくぜんに,,牛乳,593,746
5,232050,2018,6,5,ごはん,★やさいはんぺん,きゅうりのごまあえ,なまあげのうまに,アーモンドこざかな,牛乳,595,756
6,232050,2018,6,6,ごはん,★たこのからあげ,ごもくきんぴら,みだくさんじる,,牛乳,587,743
7,232050,2018,6,7,ミルクロールパン,フランクフルトのケチャップソースかけ,ナタデココいりフルーツポンチ,オニオンスープ,,牛乳,626,779
8,232050,2018,6,8,ごはん,★えびとだいずのごまがらめ,きりぼしだいこんのあまずあえ,とりにくのすまじじる,,牛乳,556,702
9,232050,2018,6,9,,,,,,,,
10,232050,2018,6,10,,,,,,,,
11,232050,2018,6,11,ごはん,★あじフライレモンソース,ごぼうサラダ,マヨネーズ,ぶたじる,牛乳,668,847
12,232050,2018,6,12,ごはん,ハヤシライス,★オムレツ,ブロッコリーとくるみのサラダ,,牛乳,602,758
13,232050,2018,6,13,ごはん,ツナそぼろごはんのぐ,★チキンたつた,ぶたにくとだいこんのにもの,,牛乳,688,869
14,232050,2018,6,14,りんごパン,★ハンバーグのバーベキューソースかけ,アスパラサラダ,コーンクリームスープ,,牛乳,651,823
15,232050,2018,6,15,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,★えびだんごスープ,ヨーグルト,牛乳,647,820
16,232050,2018,6,16,,,,,,,,
17,232050,2018,6,17,,,,,,,,
18,232050,2018,6,18,ごはん,たこめしのぐ,★あいちのキャベツいりつくね,あいちのたまねぎのみそしる,★かんそうこざかな,牛乳,570,732
19,232050,2018,6,19,あいちのこめこいりパン,ポークシチュー,ツナサラダ,オレンジ,,牛乳,599,690
20,232050,2018,6,20,ごはん,★さばのぎんがみやき,おかかあえ,おやこに,,牛乳,642,803
21,232050,2018,6,21,きしめん,わふうじる,★かきあげ,あいちのミニトマト,,牛乳,656,743
22,232050,2018,6,22,はつがげんまいごはん,★あいちのぶたしゅうまい（小２こ・中３こ）,かりもりとひじきのちゅうかあえ,マーボーどうふ,,牛乳,623,800
23,232050,2018,6,23,,,,,,,,
24,232050,2018,6,24,,,,,,,,
25,232050,2018,6,25,ごはん,カレー,とりにくのハーブやき,ハムとやさいのマリネ,,牛乳,655,821
26,232050,2018,6,26,ごはん,★にくだんごのすぶた,バンバンジーサラダ,はっぽうたん,,牛乳,591,744
27,232050,2018,6,27,ごはん,★けんちんしのだにくみそかけ,やさいとわかめのあえもの,さわにわん,,牛乳,578,729
28,232050,2018,6,28,きなこ  あげパン,ポークビーンズ,スパゲッティサラダ,キャンディチーズ（小２こ・中３こ）,,牛乳,564,678
29,232050,2018,6,29,ごはん,★あつやきやまご,きゅうりとたくあんのあえもの,にくじゃが,★がまごおりみかんゼリー,牛乳,639,794
30,232050,2018,6,30,,,,,,,,
